[2025-09-24 17:46:08,613][__main__][INFO] - =====Running train script=====
[2025-09-24 17:46:08,648][__main__][INFO] - Fetched main configs, save directory : ../outputs/norm/traffic/lags504_horizon504/seed_1/instance_NMSE/
[2025-09-24 17:46:08,649][__main__][INFO] - Model PatchTST, norma instance, criterion NMSE, kwargs {'last': False, 'latent': False}
[2025-09-24 17:46:12,123][__main__][INFO] - Fetched dataloaders
[2025-09-24 17:46:12,123][__main__][INFO] - Splits shapes:
train	(689, 1, 10526)
valid1	(689, 1, 3509)
valid2	(173, 1, 10526)
valid3	(173, 1, 3509)
test1	(689, 1, 3509)
test2	(173, 1, 3509)
[2025-09-24 17:46:12,123][__main__][INFO] - Batches:
 X=[64, 1, 504]
 y=[64, 1, 504]
[2025-09-24 22:32:13,717][__main__][INFO] - Step 4900 | valid1 MSE : 0.0007 | valid1 NMSE : 0.3301
[2025-09-24 22:37:56,907][__main__][INFO] - Step 5000 | valid1 MSE : 0.0007 | valid1 NMSE : 0.3302
[2025-09-24 22:43:39,840][__main__][INFO] - Step 5100 | valid1 MSE : 0.0007 | valid1 NMSE : 0.3298
[2025-09-24 22:49:22,675][__main__][INFO] - Step 5200 | valid1 MSE : 0.0007 | valid1 NMSE : 0.3300
[2025-09-24 22:55:05,704][__main__][INFO] - Step 5300 | valid1 MSE : 0.0007 | valid1 NMSE : 0.3299
[2025-09-24 23:00:48,984][__main__][INFO] - Step 5400 | valid1 MSE : 0.0007 | valid1 NMSE : 0.3296
[2025-09-24 23:06:31,614][__main__][INFO] - Step 5500 | valid1 MSE : 0.0007 | valid1 NMSE : 0.3293
[2025-09-24 23:12:08,085][__main__][INFO] - Step 5600 | valid1 MSE : 0.0007 | valid1 NMSE : 0.3294
[2025-09-24 23:17:45,077][__main__][INFO] - Step 5700 | valid1 MSE : 0.0007 | valid1 NMSE : 0.3295
[2025-09-24 23:23:21,624][__main__][INFO] - Step 5800 | valid1 MSE : 0.0007 | valid1 NMSE : 0.3292
[2025-09-24 23:28:58,311][__main__][INFO] - Step 5900 | valid1 MSE : 0.0007 | valid1 NMSE : 0.3291
[2025-09-24 23:34:34,202][__main__][INFO] - Step 6000 | valid1 MSE : 0.0007 | valid1 NMSE : 0.3294
[2025-09-24 23:40:10,761][__main__][INFO] - Step 6100 | valid1 MSE : 0.0007 | valid1 NMSE : 0.3291
[2025-09-24 23:45:47,296][__main__][INFO] - Step 6200 | valid1 MSE : 0.0006 | valid1 NMSE : 0.3289
[2025-09-24 23:51:24,115][__main__][INFO] - Step 6300 | valid1 MSE : 0.0006 | valid1 NMSE : 0.3291
[2025-09-24 23:57:00,608][__main__][INFO] - Step 6400 | valid1 MSE : 0.0006 | valid1 NMSE : 0.3286
[2025-09-25 00:02:39,555][__main__][INFO] - Step 6500 | valid1 MSE : 0.0006 | valid1 NMSE : 0.3289
[2025-09-25 00:08:17,747][__main__][INFO] - Step 6600 | valid1 MSE : 0.0006 | valid1 NMSE : 0.3286
[2025-09-25 00:13:55,719][__main__][INFO] - Step 6700 | valid1 MSE : 0.0006 | valid1 NMSE : 0.3284
[2025-09-25 00:19:33,742][__main__][INFO] - Step 6800 | valid1 MSE : 0.0006 | valid1 NMSE : 0.3284
[2025-09-25 00:25:11,553][__main__][INFO] - Step 6900 | valid1 MSE : 0.0006 | valid1 NMSE : 0.3282
[2025-09-25 00:30:49,670][__main__][INFO] - Step 7000 | valid1 MSE : 0.0006 | valid1 NMSE : 0.3282
[2025-09-25 00:36:27,860][__main__][INFO] - Step 7100 | valid1 MSE : 0.0006 | valid1 NMSE : 0.3284
[2025-09-25 00:42:05,910][__main__][INFO] - Step 7200 | valid1 MSE : 0.0006 | valid1 NMSE : 0.3284
[2025-09-25 00:47:43,845][__main__][INFO] - Step 7300 | valid1 MSE : 0.0006 | valid1 NMSE : 0.3282
[2025-09-25 00:53:21,995][__main__][INFO] - Step 7400 | valid1 MSE : 0.0006 | valid1 NMSE : 0.3279
[2025-09-25 00:58:59,648][__main__][INFO] - Step 7500 | valid1 MSE : 0.0006 | valid1 NMSE : 0.3281
[2025-09-25 01:04:37,531][__main__][INFO] - Step 7600 | valid1 MSE : 0.0006 | valid1 NMSE : 0.3276
[2025-09-25 01:10:15,341][__main__][INFO] - Step 7700 | valid1 MSE : 0.0006 | valid1 NMSE : 0.3275
[2025-09-25 01:15:53,338][__main__][INFO] - Step 7800 | valid1 MSE : 0.0006 | valid1 NMSE : 0.3275
[2025-09-25 01:21:31,224][__main__][INFO] - Step 7900 | valid1 MSE : 0.0006 | valid1 NMSE : 0.3276
[2025-09-25 01:27:08,797][__main__][INFO] - Step 8000 | valid1 MSE : 0.0006 | valid1 NMSE : 0.3276
[2025-09-25 01:32:46,756][__main__][INFO] - Step 8100 | valid1 MSE : 0.0006 | valid1 NMSE : 0.3273
[2025-09-25 01:38:24,407][__main__][INFO] - Step 8200 | valid1 MSE : 0.0006 | valid1 NMSE : 0.3279
[2025-09-25 01:44:02,129][__main__][INFO] - Step 8300 | valid1 MSE : 0.0006 | valid1 NMSE : 0.3281
[2025-09-25 01:49:39,817][__main__][INFO] - Step 8400 | valid1 MSE : 0.0006 | valid1 NMSE : 0.3279
[2025-09-25 01:55:17,685][__main__][INFO] - Step 8500 | valid1 MSE : 0.0006 | valid1 NMSE : 0.3272
[2025-09-25 02:00:55,297][__main__][INFO] - Step 8600 | valid1 MSE : 0.0006 | valid1 NMSE : 0.3269
[2025-09-25 02:06:32,715][__main__][INFO] - Step 8700 | valid1 MSE : 0.0006 | valid1 NMSE : 0.3277
[2025-09-25 02:12:10,634][__main__][INFO] - Step 8800 | valid1 MSE : 0.0006 | valid1 NMSE : 0.3271
[2025-09-25 02:17:47,919][__main__][INFO] - Step 8900 | valid1 MSE : 0.0006 | valid1 NMSE : 0.3272
[2025-09-25 02:23:25,590][__main__][INFO] - Step 9000 | valid1 MSE : 0.0006 | valid1 NMSE : 0.3268
[2025-09-25 02:29:02,586][__main__][INFO] - Step 9100 | valid1 MSE : 0.0006 | valid1 NMSE : 0.3274
[2025-09-25 02:34:39,743][__main__][INFO] - Step 9200 | valid1 MSE : 0.0006 | valid1 NMSE : 0.3274
[2025-09-25 02:40:16,940][__main__][INFO] - Step 9300 | valid1 MSE : 0.0006 | valid1 NMSE : 0.3267
